name_scheme,net_asset_value,outstanding_no_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,date_valued
Umoja Fund,"323,089,737,645.4760","345,597,636.9171",934.8725,934.8725,925.5238,07-08-2023
Wekeza Maisha Fund,"9,590,622,018.1204","11,969,663.8546",801.2441,801.2441,785.2192,07-08-2023
Watoto Fund,"11,779,661,361.8535","19,951,925.1761",590.4022,590.4022,584.4982,07-08-2023
Jikimu Fund,"19,949,791,267.0610","120,812,776.2507",165.1298,165.1298,161.8272,07-08-2023
Liquid Fund,"766,649,207,233.6870","2,093,706,153.4687",366.1685,366.1685,366.1685,07-08-2023
Bond Fund,"445,793,126,846.8230","3,871,089,258.1149",115.1596,115.1596,115.1596,07-08-2023
Umoja Fund,"322,927,566,613.8790","345,571,300.8245",934.4745,934.4745,925.1297,04-08-2023
Wekeza Maisha Fund,"9,569,959,960.8591","11,952,229.5750",800.6841,800.6841,784.6704,04-08-2023
Watoto Fund,"11,695,969,861.4821","19,823,946.0575",589.992,589.992,584.0921,04-08-2023
Jikimu Fund,"19,929,234,072.0427","120,763,082.2331",165.0275,165.0275,161.727,04-08-2023
Liquid Fund,"762,565,051,228.4430","2,084,251,456.5052",365.87,365.87,365.87,04-08-2023
Bond Fund,"444,647,083,457.4850","3,864,202,783.4312",115.0683,115.0683,115.0683,04-08-2023
Umoja Fund,"322,603,774,790.6210","345,551,382.8316",933.5913,933.5913,924.2554,03-08-2023
Wekeza Maisha Fund,"9,537,349,365.1186","11,920,256.2065",800.096,800.096,784.0941,03-08-2023
Watoto Fund,"11,638,238,624.4989","19,737,269.2524",589.658,589.658,583.7614,03-08-2023
Jikimu Fund,"19,977,625,611.5487","121,162,822.0638",164.8825,164.8825,161.5848,03-08-2023
Liquid Fund,"761,905,954,409.5720","2,083,018,013.8804",365.7702,365.7702,365.7702,03-08-2023
