name_scheme,net_asset_value,outstanding_no_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,date_valued
Watoto Fund,"3,146,910,840.6800","9,556,363.9900",329.3,329.3,326.007,23-11-2018
Jikimu Fund,"20,110,189,636.0700","158,056,013.5200",127.2346,127.2346,124.6899,23-11-2018
Liquid Fund,"35,675,850,700.9900","180,970,905.4800",197.1358,197.1358,197.1358,23-11-2018
Umoja Fund,"219,243,302,027.3900","387,041,025.8800",566.4601,566.4601,560.7955,22-11-2018
Wekeza Maisha Fund,"1,207,120,247.8900","3,229,096.7900",373.826,373.826,366.3495,22-11-2018
Watoto Fund,"3,145,959,638.6500","9,555,422.4000",329.2329,329.2329,325.9406,22-11-2018
Jikimu Fund,"20,102,916,411.2200","158,062,475.0100",127.1834,127.1834,124.6397,22-11-2018
Liquid Fund,"35,637,858,366.0500","180,837,955.8400",197.0707,197.0707,197.0707,22-11-2018
Umoja Fund,"219,214,643,529.9000","387,020,957.4300",566.4154,566.4154,560.7513,21-11-2018
Wekeza Maisha Fund,"1,206,807,010.2100","3,229,096.7900",373.729,373.729,366.2544,21-11-2018
Watoto Fund,"3,142,833,850.8400","9,547,872.5100",329.1659,329.1659,325.8742,21-11-2018
Jikimu Fund,"20,097,791,823.3900","158,063,359.7700",127.1502,127.1502,124.6072,21-11-2018
Liquid Fund,"35,340,133,000.9200","179,446,702.0400",196.9394,196.9394,196.9394,21-11-2018
Umoja Fund,"219,371,015,465.8300","387,318,303.4800",566.3843,566.3843,560.7205,19-11-2018
Wekeza Maisha Fund,"1,209,484,777.7300","3,237,917.8900",373.5378,373.5378,366.0671,19-11-2018
Watoto Fund,"3,141,149,476.9500","9,546,648.0000",329.0317,329.0317,325.7413,19-11-2018
Jikimu Fund,"20,127,125,933.2500","158,376,722.2000",127.0839,127.0839,124.5422,19-11-2018
Liquid Fund,"35,391,763,696.1100","179,828,294.7500",196.8086,196.8086,196.8086,19-11-2018
Umoja Fund,"219,325,904,991.8000","387,307,996.2500",566.2829,566.2829,560.6201,16-11-2018
Wekeza Maisha Fund,"1,208,544,605.9000","3,237,917.8900",373.2475,373.2475,365.7825,16-11-2018
Watoto Fund,"3,139,099,957.0200","9,546,267.8600",328.8301,328.8301,325.5418,16-11-2018
Jikimu Fund,"20,111,257,243.7600","158,375,816.2700",126.9844,126.9844,124.4447,16-11-2018
Liquid Fund,"35,534,504,226.0600","180,672,969.3900",196.6786,196.6786,196.6786,16-11-2018
Umoja Fund,"219,315,007,752.3700","387,306,901.3400",566.2564,566.2564,560.5938,15-11-2018
Wekeza Maisha Fund,"1,208,231,202.5800","3,237,917.8900",373.1507,373.1507,365.6876,15-11-2018
Watoto Fund,"3,138,108,335.3600","9,545,203.2700",328.7629,328.7629,325.4752,15-11-2018
Jikimu Fund,"20,105,955,315.5400","158,375,422.4100",126.9512,126.9512,124.4122,15-11-2018
Liquid Fund,"35,434,771,074.9100","180,225,390.9900",196.6136,196.6136,196.6136,15-11-2018
Umoja Fund,"219,336,873,408.7800","387,363,320.2900",566.2304,566.2304,560.5681,14-11-2018
Wekeza Maisha Fund,"1,207,827,777.7800","3,237,677.8000",373.0537,373.0537,365.5927,14-11-2018
Watoto Fund,"3,138,874,741.2900","9,544,960.3200",328.8515,328.8515,325.563,14-11-2018
Jikimu Fund,"20,055,965,725.6000","157,993,633.4000",126.9416,126.9416,124.4028,14-11-2018
Liquid Fund,"35,389,940,523.7800","180,169,390.2300",196.4259,196.4259,196.4259,14-11-2018
Umoja Fund,"219,657,029,548.6100","387,356,737.8200",567.0665,567.0665,561.3958,13-11-2018
Wekeza Maisha Fund,"1,213,664,325.3600","3,237,677.8000",374.8564,374.8564,367.3593,13-11-2018
Watoto Fund,"3,143,238,954.4000","9,542,652.6300",329.3884,329.3884,326.0945,13-11-2018
Jikimu Fund,"20,093,319,811.5200","157,999,058.9200",127.1737,127.1737,124.6302,13-11-2018
Liquid Fund,"35,108,842,064.8000","178,796,414.4100",196.3621,196.3621,196.3621,13-11-2018
Umoja Fund,"219,782,795,837.5600","387,601,840.9700",567.0324,567.0324,561.3621,12-11-2018
Wekeza Maisha Fund,"1,215,009,653.6200","3,242,106.5200",374.7593,374.7593,367.2641,12-11-2018
Watoto Fund,"3,145,436,152.5000","9,550,603.6800",329.3442,329.3442,326.0508,12-11-2018
Jikimu Fund,"20,169,169,593.0000","158,598,357.2400",127.1714,127.1714,124.6279,12-11-2018
Liquid Fund,"34,960,929,478.2000","178,087,499.9800",196.3132,196.3132,196.3132,12-11-2018
Umoja Fund,"219,688,651,098.1500","387,589,857.9900",566.807,566.807,561.1389,09-11-2018
Wekeza Maisha Fund,"1,214,009,684.8200","3,241,171.8400",374.5589,374.5589,367.0677,09-11-2018
Watoto Fund,"3,140,009,265.3800","9,542,084.0100",329.0695,329.0695,325.7789,09-11-2018
Jikimu Fund,"20,140,247,958.3500","158,515,243.9200",127.0556,127.0556,124.5145,09-11-2018
Liquid Fund,"34,940,616,539.2700","178,013,626.1500",196.2806,196.2806,196.2806,09-11-2018
Umoja Fund,"219,670,066,047.8400","387,580,385.4200",566.7729,566.7729,561.1052,08-11-2018
Wekeza Maisha Fund,"1,213,600,604.5700","3,240,904.7300",374.4635,374.4635,374.4635,08-11-2018
Watoto Fund,"3,135,615,105.8300","9,530,655.3000",329.0031,329.0031,325.7131,08-11-2018
Jikimu Fund,"20,132,050,970.2800","158,491,806.8600",127.0227,127.0227,124.4822,08-11-2018
Liquid Fund,"34,948,346,380.9000","178,068,033.6200",196.264,196.264,196.264,08-11-2018
Umoja Fund,"219,654,679,250.6300","387,576,567.7400",566.7388,566.7388,561.0714,07-11-2018
Wekeza Maisha Fund,"1,213,291,554.0900","3,240,904.7300",374.3682,374.3682,366.8808,07-11-2018
Watoto Fund,"3,133,980,277.0700","9,527,615.2000",328.9365,328.9365,325.6471,07-11-2018
Jikimu Fund,"20,126,730,355.1800","158,491,019.4000",126.9897,126.9897,124.4499,07-11-2018
Liquid Fund,"34,834,849,096.3200","177,507,478.2100",196.2444,196.2444,196.2444,07-11-2018
Umoja Fund,"219,971,327,867.6000","388,158,046.8200",566.7056,566.7056,561.0385,06-11-2018
Watoto Fund,"3,141,415,187.4000","9,552,137.7400",328.8704,328.8704,325.5817,06-11-2018
Watoto Fund,"3,141,415,187.4000","9,552,137.7400",328.8704,328.8704,325.5817,06-11-2018
Jikimu Fund,"20,145,426,699.9000","158,676,798.1500",126.9589,126.9589,124.4197,06-11-2018
Liquid Fund,"35,368,787,695.7300","180,238,858.9000",196.2329,196.2329,196.2329,06-11-2018
Umoja Fund,"219,995,026,289.3900","388,139,138.4700",566.7942,566.7942,561.1263,05-11-2018
Wekeza Maisha Fund,"1,215,120,983.9200","3,247,456.8800",374.1762,374.1762,366.6926,05-11-2018
Watoto Fund,"3,136,077,698.0600","9,536,307.0700",328.8566,328.8566,325.5681,05-11-2018
Jikimu Fund,"20,126,826,324.7800","158,551,102.9600",126.9422,126.9422,124.4034,05-11-2018
Liquid Fund,"35,149,587,608.3000","179,131,438.9900",196.2223,196.2223,196.2223,05-11-2018
Umoja Fund,"219,918,040,655.0900","388,117,852.9700",566.627,566.627,560.9607,02-11-2018
Wekeza Maisha Fund,"1,214,194,032.8100","3,247,456.8800",373.8907,373.8907,366.4129,02-11-2018
Watoto Fund,"3,133,850,800.9800","9,535,302.7800",328.6577,328.6577,325.3711,02-11-2018
Jikimu Fund,"20,110,617,221.4000","158,549,715.3400",126.8411,126.8411,124.3043,02-11-2018
Liquid Fund,"34,971,319,261.3200","178,251,535.6500",196.1908,196.1908,196.1908,02-11-2018
Umoja Fund,"219,898,435,146.5900","388,106,669.0200",566.5928,566.5928,560.9268,01-11-2018
Wekeza Maisha Fund,"1,213,789,673.2000","3,247,202.6500",373.7955,373.7955,366.3196,01-11-2018
Watoto Fund,"3,131,506,098.4600","9,530,101.3900",328.5911,328.5911,325.3051,01-11-2018
Jikimu Fund,"20,105,164,608.3300","158,548,809.4900",126.8074,126.8074,124.2713,01-11-2018
Liquid Fund,"34,649,599,876.5300","176,620,835.1600",196.1807,196.1807,196.1807,01-11-2018
Umoja Fund,"219,895,406,205.6400","388,116,424.1400",566.5707,566.5707,560.905,31-10-2018
Wekeza Maisha Fund,"1,213,339,287.7700","3,246,828.0200",373.6999,373.6999,366.2259,31-10-2018
Watoto Fund,"3,130,227,909.4000","9,528,134.0700",328.5248,328.5248,325.2395,31-10-2018
Jikimu Fund,"20,093,722,759.0600","158,501,107.7800",126.7734,126.7734,124.2379,31-10-2018
Liquid Fund,"34,628,437,106.0700","176,518,884.9000",196.1741,196.1741,196.1741,31-10-2018
Umoja Fund,"221,631,881,970.2700","388,511,898.5500",570.4636,570.4636,564.7589,30-10-2018
Wekeza Maisha Fund,"1,218,548,425.4200","3,261,621.1700",373.6021,373.6021,366.13,30-10-2018
Watoto Fund,"3,143,901,298.8400","9,504,919.8400",330.7657,330.7657,327.458,30-10-2018
Jikimu Fund,"20,187,913,231.4900","158,832,854.1300",127.1016,127.1016,124.5596,30-10-2018
Liquid Fund,"34,550,198,686.2200","176,125,754.7800",196.1678,196.1678,196.1678,30-10-2018
Umoja Fund,"221,610,508,875.0900","388,496,577.0600",570.431,570.431,564.7267,29-10-2018
Wekeza Maisha Fund,"1,218,061,889.1000","3,261,147.8200",373.5071,373.5071,366.037,29-10-2018
Watoto Fund,"3,142,868,828.6400","9,503,700.6100",330.6995,330.6995,327.3925,29-10-2018
Jikimu Fund,"20,182,924,343.3500","158,817,572.9300",127.0824,127.0824,124.5408,29-10-2018
Liquid Fund,"34,531,305,336.1000","176,036,087.0900",196.1604,196.1604,196.1604,29-10-2018
Umoja Fund,"221,556,498,832.7800","388,468,228.7400",570.3336,570.3336,564.6303,26-10-2018
Wekeza Maisha Fund,"1,217,131,681.1500","3,261,147.8200",373.2219,373.2219,365.7574,26-10-2018
Watoto Fund,"3,133,882,521.6600","9,482,218.0800",330.501,330.501,327.196,26-10-2018
Jikimu Fund,"20,142,933,338.9800","158,628,547.2200",126.9818,126.9818,124.4421,26-10-2018
Liquid Fund,"34,377,610,333.0700","175,271,797.7400",196.1389,196.1389,196.1389,26-10-2018
Umoja Fund,"221,540,797,334.3900","388,462,892.9100",570.3011,570.3011,564.598,25-10-2018
Wekeza Maisha Fund,"1,216,735,248.3300","3,260,920.7000",373.1263,373.1263,365.6638,25-10-2018
Watoto Fund,"3,133,690,532.7500","9,483,536.5000",330.4348,330.4348,327.1305,25-10-2018
Jikimu Fund,"20,132,576,831.7200","158,607,140.3300",126.9336,126.9336,124.3949,25-10-2018
Liquid Fund,"34,356,766,550.3600","175,171,967.0500",196.1316,196.1316,196.1316,25-10-2018
Umoja Fund,"221,466,749,989.1400","388,357,674.4000",570.2649,570.2649,564.5623,24-10-2018
Wekeza Maisha Fund,"1,216,423,788.3500","3,260,920.7000",373.0308,373.0308,365.5702,24-10-2018
Watoto Fund,"3,131,135,590.8600","9,477,700.1700",330.3687,330.3687,327.065,24-10-2018
Jikimu Fund,"20,136,456,827.4200","158,680,764.7800",126.8992,126.8992,124.3612,24-10-2018
Liquid Fund,"33,397,528,581.4000","170,287,316.6600",196.1246,196.1246,196.1246,24-10-2018
Umoja Fund,"221,446,245,554.4900","388,343,919.8000",570.2323,570.2323,564.53,23-10-2018
Wekeza Maisha Fund,"1,216,112,307.0400","3,260,920.7000",372.9353,372.9353,365.4766,23-10-2018
Watoto Fund,"3,130,358,473.9600","9,477,246.0300",330.3025,330.3025,326.9995,23-10-2018
Jikimu Fund,"20,130,001,551.6600","158,672,093.9500",126.8654,126.8654,124.3281,23-10-2018
Liquid Fund,"33,371,942,178.1300","170,162,748.6700",196.1178,196.1178,196.1178,23-10-2018
Umoja Fund,"221,635,514,690.8300","388,688,146.7500",570.2142,570.2142,564.5121,22-10-2018
Wekeza Maisha Fund,"1,224,538,697.4600","3,284,390.5700",372.8359,372.8359,365.3792,22-10-2018
Watoto Fund,"3,133,117,691.6300","9,487,499.8100",330.2365,330.2365,326.934,22-10-2018
Jikimu Fund,"20,255,556,314.1900","159,705,850.1500",126.8304,126.8304,124.2938,22-10-2018
Liquid Fund,"33,315,772,509.2700","169,882,907.8400",196.1102,196.1102,196.1102,22-10-2018
Umoja Fund,"221,584,571,448.7000","388,665,261.9400",570.1167,570.1167,564.4156,19-10-2018
Wekeza Maisha Fund,"1,220,607,070.8700","3,276,335.9600",372.5525,372.5525,365.1014,19-10-2018
Watoto Fund,"3,130,731,173.3100","9,485,954.5900",330.0386,330.0386,326.7382,19-10-2018
Jikimu Fund,"20,238,812,539.1700","159,700,562.7200",126.7298,126.7298,124.1952,19-10-2018
Liquid Fund,"33,114,566,277.5400","168,873,814.7900",196.0906,196.0906,196.0906,19-10-2018
Umoja Fund,"221,584,132,698.3900","388,682,342.7800",570.0906,570.0906,564.3896,18-10-2018
Wekeza Maisha Fund,"1,220,235,545.9500","3,276,174.8600",372.4574,372.4574,365.0082,18-10-2018
Watoto Fund,"3,130,667,672.3400","9,483,903.7900",330.1033,330.1033,326.8022,18-10-2018
Jikimu Fund,"20,231,854,227.9000","159,663,471.8400",126.7156,126.7156,124.1813,18-10-2018
Liquid Fund,"33,093,257,414.6100","168,771,817.0600",196.0828,196.0828,196.0828,18-10-2018
Umoja Fund,"221,653,877,414.4900","388,659,038.0700",570.3042,570.3042,564.6011,17-10-2018
Wekeza Maisha Fund,"1,223,458,710.4900","3,285,748.7300",372.3531,372.3531,364.906,17-10-2018
Watoto Fund,"3,130,841,167.0100","9,483,297.9900",330.1427,330.1427,326.8412,17-10-2018
Jikimu Fund,"20,208,328,610.7100","159,477,622.8700",126.7158,126.7158,124.1814,17-10-2018
Liquid Fund,"32,991,165,840.2600","168,257,744.0500",196.0752,196.0752,196.0752,17-10-2018
Umoja Fund,"221,644,785,317.5200","388,651,368.8500",570.292,570.292,564.5891,16-10-2018
Wekeza Maisha Fund,"1,224,533,150.3200","3,289,492.4500",372.256,372.256,364.8108,16-10-2018
Watoto Fund,"3,129,864,600.5600","9,482,229.6000",330.0769,330.0769,326.7761,16-10-2018
Jikimu Fund,"20,200,948,163.5700","159,461,835.3100",126.682,126.682,124.1484,16-10-2018
Liquid Fund,"32,586,837,398.1400","166,223,092.9500",196.0428,196.0428,196.0428,16-10-2018
Umoja Fund,"221,732,223,164.2500","388,824,656.3100",570.2628,570.2628,564.5601,15-10-2018
Wekeza Maisha Fund,"1,224,121,913.7600","3,289,223.7400",372.1613,372.1613,364.7181,15-10-2018
Watoto Fund,"3,133,418,273.6200","9,499,763.2800",329.8417,329.8417,326.5433,15-10-2018
Jikimu Fund,"20,249,008,567.9600","159,883,538.2400",126.6485,126.6485,124.1155,15-10-2018
Liquid Fund,"32,621,261,182.2600","166,427,198.6100",196.0092,196.0092,196.0092,15-10-2018
Umoja Fund,"221,184,215,182.4400","388,817,460.6500",568.8639,568.8639,563.1753,12-10-2018
Wekeza Maisha Fund,"1,215,022,429.9700","3,289,223.7400",369.3949,369.3949,362.007,12-10-2018
Watoto Fund,"3,261,623,546.7400","9,979,704.2400",326.8257,326.8257,323.5574,12-10-2018
Jikimu Fund,"20,169,827,919.4800","159,686,454.2800",126.3089,126.3089,123.7828,12-10-2018
Liquid Fund,"32,490,184,533.5700","166,084,016.8900",195.625,195.625,195.625,12-10-2018
Umoja Fund,"223,899,140,315.5600","388,807,058.9600",575.8618,575.8618,570.1032,11-10-2018
Wekeza Maisha Fund,"1,214,505,107.5100","3,288,682.1800",369.2984,369.2984,361.9124,11-10-2018
Watoto Fund,"3,297,075,350.8800","9,977,912.0200",330.4374,330.4374,327.133,11-10-2018
Jikimu Fund,"20,235,801,026.8500","159,510,443.8200",126.8619,126.8619,124.3247,11-10-2018
Liquid Fund,"32,470,152,394.4100","165,986,888.2300",195.6188,195.6188,195.6188,11-10-2018
Umoja Fund,"223,884,432,798.3900","388,802,755.3300",575.8304,575.8304,570.0721,10-10-2018
Wekeza Maisha Fund,"1,213,189,334.4900","3,285,973.6400",369.2024,369.2024,361.8183,10-10-2018
Watoto Fund,"3,296,351,555.9600","9,977,760.6800",330.3699,330.3699,327.0662,10-10-2018
Jikimu Fund,"20,229,816,007.5800","159,505,910.1200",126.828,126.828,124.2914,10-10-2018
Liquid Fund,"32,445,115,553.0300","165,864,196.6800",195.6125,195.6125,195.6125,10-10-2018
Umoja Fund,"224,175,554,833.9600","389,329,679.6500",575.7988,575.7988,570.0408,09-10-2018
Wekeza Maisha Fund,"1,225,158,727.8200","3,319,341.7300",369.0969,369.0969,361.715,09-10-2018
Watoto Fund,"3,297,146,459.5300","9,982,212.2800",330.3022,330.3022,326.9992,09-10-2018
Jikimu Fund,"20,317,198,868.7900","160,239,334.2900",126.7928,126.7928,124.257,09-10-2018
Liquid Fund,"32,456,998,043.2500","165,930,231.1000",195.6063,195.6063,195.6063,09-10-2018
Umoja Fund,"224,154,933,610.1100","389,310,691.5900",575.7739,575.7739,570.0162,08-10-2018
Wekeza Maisha Fund,"1,220,113,185.3600","3,311,058.3300",368.4964,368.4964,361.1265,08-10-2018
Watoto Fund,"3,296,135,820.1000","9,981,194.6000",330.2346,330.2346,326.9323,08-10-2018
Jikimu Fund,"20,152,700,921.2700","158,978,563.7300",126.7636,126.7636,124.2284,08-10-2018
Liquid Fund,"32,519,559,212.6500","166,255,384.4800",195.6,195.6,195.6,08-10-2018
Umoja Fund,"224,073,275,986.6300","389,236,362.3800",575.6741,575.6741,569.9173,05-10-2018
Wekeza Maisha Fund,"1,219,136,958.3400","3,311,058.3300",368.2016,368.2016,360.8376,05-10-2018
Watoto Fund,"3,296,032,462.3800","9,987,017.8700",330.0317,330.0317,326.7314,05-10-2018
Jikimu Fund,"20,125,155,960.3500","158,889,309.6500",126.6615,126.6615,124.1283,05-10-2018
Liquid Fund,"32,785,686,926.5400","167,632,581.5000",195.5806,195.5806,195.5806,05-10-2018
Umoja Fund,"224,063,722,211.4800","389,239,895.9600",575.6443,575.6443,569.8878,04-10-2018
Wekeza Maisha Fund,"1,218,185,132.7000","3,309,355.8100",368.1034,368.1034,360.7413,04-10-2018
Watoto Fund,"3,293,933,041.4700","9,982,699.2200",329.9642,329.9642,326.6645,04-10-2018
Jikimu Fund,"20,119,549,752.2700","158,887,769.2900",126.6274,126.6274,124.0949,04-10-2018
Liquid Fund,"32,685,931,471.5000","167,127,920.3400",195.5743,195.5743,195.5743,04-10-2018
Umoja Fund,"224,033,370,439.5700","389,208,281.2200",575.6131,575.6131,569.8569,03-10-2018
Wekeza Maisha Fund,"1,214,560,287.0800","3,300,385.2500",368.0056,368.0056,360.6455,03-10-2018
Watoto Fund,"3,291,916,584.2200","9,978,632.2000",329.8966,329.8966,326.5976,03-10-2018
Jikimu Fund,"20,112,283,310.0700","158,873,155.5600",126.5933,126.5933,124.0615,03-10-2018
Liquid Fund,"32,494,399,620.4100","166,153,835.6000",195.5682,195.5682,195.5682,03-10-2018
Umoja Fund,"224,171,057,897.5400","389,473,386.8000",575.5748,575.5748,569.819,02-10-2018
Wekeza Maisha Fund,"1,222,170,451.5500","3,321,515.3600",367.9557,367.9557,360.5966,02-10-2018
Watoto Fund,"3,294,223,313.4900","9,987,741.3200",329.8267,329.8267,326.5284,02-10-2018
Jikimu Fund,"20,113,698,344.9600","158,919,059.6000",126.5657,126.5657,124.0344,02-10-2018
Liquid Fund,"32,552,957,143.2700","166,460,764.2600",195.5593,195.5593,195.5593,02-10-2018
Umoja Fund,"389,387,250.3000","224,109,340,475.7600",575.5436,575.5436,569.7882,01-10-2018
Wekeza Maisha Fund,"1,221,747,372.8600","3,321,248.0300",367.8579,367.8579,360.5008,01-10-2018
Watoto Fund,"3,292,400,766.7300","9,984,259.5800",329.7591,329.7591,326.4615,01-10-2018
Jikimu Fund,"20,099,693,876.6800","158,859,949.6300",126.5246,126.5246,123.9941,01-10-2018
Liquid Fund,"32,520,145,251.3100","166,324,280.5700",195.5225,195.5225,195.5225,01-10-2018
Umoja Fund,"224,072,966,642.7200","389,387,250.3000",575.4502,575.4502,569.6957,28-09-2018
Wekeza Maisha Fund,"1,220,571,758.7600","3,320,700.4800",367.5645,367.5645,360.2133,28-09-2018
Watoto Fund,"3,289,910,342.5800","9,982,844.5000",329.5564,329.5564,326.2608,28-09-2018
Jikimu Fund,"20,557,588,831.3200","158,843,903.6900",129.4201,129.4201,126.8317,28-09-2018
Liquid Fund,"32,417,275,467.4900","165,882,163.8300",195.4235,195.4235,195.4235,28-09-2018
Umoja Fund,"224,051,601,982.9800","389,371,246.3100",575.419,575.419,569.6648,27-09-2018
Wekeza Maisha Fund,"1,220,246,947.0900","3,320,700.4800",367.4667,367.4667,360.1174,27-09-2018
Watoto Fund,"3,289,125,475.1800","9,982,510.6500",329.4888,329.4888,326.1939,27-09-2018
Jikimu Fund,"20,551,328,023.5400","158,836,174.9400",129.3869,129.3869,126.7992,27-09-2018
Liquid Fund,"33,961,020,283.0800","174,374,293.8300",194.7593,194.7593,194.7593,27-09-2018
Umoja Fund,"224,025,777,681.3900","389,347,488.1200",575.3878,575.3878,569.6339,26-09-2018
Wekeza Maisha Fund,"1,219,837,102.6200","3,320,469.1100",367.3689,367.3689,360.0215,26-09-2018
Watoto Fund,"3,288,143,315.3800","9,981,566.3800",329.4216,329.4216,326.1274,26-09-2018
Jikimu Fund,"20,545,097,384.5900","158,828,210.7600",129.3542,129.3542,126.7671,26-09-2018
Liquid Fund,"33,914,184,765.7300","174,164,764.6700",194.7247,194.7247,194.7247,26-09-2018
Umoja Fund,"224,011,146,866.4100","389,343,196.1000",575.3565,575.3565,569.603,25-09-2018
Wekeza Maisha Fund,"1,219,674,428.3200","3,320,911.4500",367.271,367.271,359.9256,25-09-2018
Watoto Fund,"3,287,241,935.1400","9,980,868.0500",329.3543,329.3543,326.0608,25-09-2018
Jikimu Fund,"20,539,816,318.2000","158,827,588.7700",129.3215,129.3215,126.735,25-09-2018
Liquid Fund,"33,881,050,106.7400","174,051,234.2000",194.6614,194.6614,194.6614,25-09-2018
Umoja Fund,"224,175,026,236.7700","389,646,632.9800",575.329,575.329,569.5758,24-09-2018
Wekeza Maisha Fund,"1,219,349,544.6400","3,320,911.4500",367.1732,367.1732,359.8297,24-09-2018
Watoto Fund,"3,285,299,463.1900","9,976,982.2500",329.2879,329.2879,325.995,24-09-2018
Jikimu Fund,"20,563,345,641.8400","159,049,807.5900",129.2887,129.2887,126.7029,24-09-2018
Liquid Fund,"33,925,547,171.9900","174,310,962.3100",194.6266,194.6266,194.6266,24-09-2018
Umoja Fund,"224,322,260,029.2800","389,581,976.1400",575.8025,575.8025,570.0444,21-09-2018
Wekeza Maisha Fund,"1,218,359,758.0200","3,320,870.5600",366.8796,366.8796,359.542,21-09-2018
Watoto Fund,"3,291,077,234.9100","9,971,210.8000",330.0579,330.0579,326.7574,21-09-2018
Jikimu Fund,"20,570,746,618.4400","159,038,210.6700",129.3447,129.3447,126.7578,21-09-2018
